species_tax_id	cell_diameter	cell_length	doubling_h	growth_tmp	optimum_tmp	optimum_ph	genome_size	gc_content	coding_genes	rRNA16S_genes	tRNA_genes	gram_stain	sporulation	motility	range_salinity	facultative_respiration	anaerobic_respiration	aerobic_respiration	mesophilic_range_tmp	thermophilic_range_tmp	psychrophilic_range_tmp	bacillus_cell_shape	coccus_cell_shape	filament_cell_shape	coccobacillus_cell_shape	vibrio_cell_shape	spiral_cell_shape
1074049	NA	NA	NA	NA	NA	NA	2812533.5	58.97	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1	0	0	1	0	0	0	0	0
1307	0.3010299956639812	0.3010299956639812	NA	37	37	7.4	2107517.139	41.089	2016.254	4	55.878	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
90909	NA	NA	0.03742649794062367	84.45	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
1411117	NA	NA	NA	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1411118	NA	NA	NA	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1138190	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1138194	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1138170	NA	NA	NA	NA	28	NA	6557588	NA	NA	NA	NA	0	0	1	NA	0	0	1	NA	NA	NA	1	0	0	0	0	0
396	NA	NA	NA	26	26	4.6	6741672.75	61.263	6261.333	3	51.5	0	0	0	NA	0	0	1	1	0	0	1	0	0	0	0	0
2014	NA	NA	NA	28.2	28	8	6683209.909	72.551	5424.2	5	56.5	1	1	0	0	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA
2277	NA	NA	0.6693168805661122	96.95	100	NA	1826401.6	49.6	1970	1	39	0	0	1	NA	0	1	0	0	1	0	1	0	0	0	0	0
29449	NA	NA	0.24600590407602912	28.5	29.789	NA	6652181.097	60.453	6294.692	3	51.125	0	0	1	NA	0	0	1	1	0	0	1	0	0	0	0	0
33940	NA	NA	NA	57.5	63.75	NA	3578607.818	47.399	3407.6	10	89.25	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0
